MJD,ABmag,emag,band
56226.2312,17.328,0.077,UVW2
56226.2331,14.659,0.061,V
56226.2358,16.897000000000002,0.066,UVM2
56226.4939,16.989,0.067,UVM2
56226.5103,17.404,0.076,UVW2
56226.73,14.83,0.05,B
56226.73,15.41,0.06,U
56226.73,16.95,0.07,UVM2
56226.73,16.36,0.06,UVW1
56226.73,17.27,0.07,UVW2
56226.73,14.709999999999999,0.06,V
56228.3611,15.589000000000002,0.052000000000000005,U
56228.3758,17.7,0.094,UVW2
56228.705,16.892,0.07200000000000001,UVW1
56228.7061,15.614,0.055,U
56228.7066,15.136,0.051,B
56228.7082,17.937,0.086,UVW2
56228.7097,14.963,0.07200000000000001,V
56228.712,17.421,0.07200000000000001,UVM2
56228.86,15.760000000000002,0.06,U
56229.05,15.33,0.05,B
56229.05,15.059999999999999,0.04,I
56229.05,14.950000000000001,0.04,R
56229.05,15.04,0.03,V
56229.21,15.14,0.06,B
56229.21,15.82,0.06,U
56229.21,17.3,0.07,UVM2
56229.21,16.900000000000002,0.07,UVW1
56229.21,17.71,0.08,UVW2
56229.21,15.02,0.07,V
56230.3687,17.048000000000002,0.07400000000000001,UVW1
56230.3697,15.805999999999997,0.06,U
56230.3703,15.379000000000001,0.055,B
56230.3719,18.121,0.08800000000000001,UVW2
56230.3734,15.179,0.075,V
56230.3758,17.633,0.073,UVM2
56230.87,15.48,0.05,B
56230.87,16.17,0.06,U
56230.87,17.69,0.05,UVM2
56230.87,17.1,0.07,UVW1
56230.87,18.240000000000002,0.09,UVW2
56230.87,15.15,0.06,V
56231.03,15.4,0.03,B
56232.8515,17.241,0.075,UVW1
56232.8526,15.765999999999998,0.057999999999999996,U
56232.8532,15.215,0.052000000000000005,B
56232.8549,18.335,0.09,UVW2
56232.8566,15.046,0.07200000000000001,V
56232.859,18.0,0.078,UVM2
56233.35,15.3,0.06,B
56233.35,16.04,0.06,U
56233.35,17.880000000000003,0.07,UVM2
56233.35,17.27,0.07,UVW1
56233.35,18.37,0.08,UVW2
56233.35,14.99,0.06,V
56233.6846,18.357,0.079,UVW2
56234.1623,18.328,0.07400000000000001,UVW2
56234.2114,17.182000000000002,0.076,UVW1
56234.2117,15.584,0.055999999999999994,U
56234.212,15.038,0.051,B
56234.2126,18.359,0.09300000000000001,UVW2
56234.213,14.87,0.071,V
56234.214,18.009000000000004,0.08199999999999999,UVM2
56234.28,17.96,0.04,UVM2
56234.28,18.37,0.08,UVW2
56234.4121,17.966,0.066,UVM2
56234.98,15.13,0.05,B
56234.98,15.96,0.05,U
56234.98,17.89,0.06,UVM2
56234.98,17.150000000000002,0.06,UVW1
56234.98,18.41,0.08,UVW2
56234.98,14.799999999999999,0.06,V
56236.09,15.120000000000001,0.01,B
56236.09,14.809999999999999,0.04,I
56236.09,14.920000000000002,0.01,R
56236.09,15.66,0.01,U
56236.09,14.94,0.06,V
56236.71,15.08,0.06,B
56236.71,15.809999999999999,0.05,U
56236.71,18.110000000000003,0.06,UVM2
56236.71,17.16,0.06,UVW1
56236.71,18.41,0.07,UVW2
56236.71,14.83,0.05,V
56237.05,15.610000000000001,0.11,H
56237.05,15.32,0.08,J
56237.05,15.79,0.12,KS
56237.07,15.23,0.03,B
56238.03,15.28,0.04,B
56238.03,15.129999999999999,0.03,I
56238.03,15.05,0.03,R
56238.03,15.09,0.03,V
56238.0795,17.3,0.068,UVW1
56238.0806,15.834,0.057999999999999996,U
56238.0812,15.276,0.054000000000000006,B
56238.0828,18.564,0.084,UVW2
56238.0845,15.129000000000001,0.063,V
56238.0869,18.071,0.07,UVM2
56238.55,15.31,0.04,B
56238.55,16.18,0.05,U
56238.55,17.89,0.07,UVM2
56238.55,17.09,0.08,UVW1
56238.55,18.240000000000002,0.09,UVW2
56238.55,15.17,0.07,V
56239.02,15.47,0.02,B
56239.14,15.47,0.01,B
56239.14,15.25,0.02,I
56239.14,15.170000000000002,0.02,R
56239.14,16.12,0.01,U
56239.14,15.28,0.01,V
56240.0521,16.29,0.068,U
56240.0532,15.668,0.061,B
56240.0563,18.830000000000002,0.08800000000000001,UVW2
56240.0594,15.300999999999998,0.066,V
56240.0627,18.345000000000002,0.079,UVM2
56240.0904,17.617,0.071,UVW1
56240.55,15.65,0.05,B
56240.55,16.47,0.05,U
56240.55,18.43,0.06,UVM2
56240.55,17.57,0.08,UVW1
56240.55,18.92,0.06,UVW2
56240.55,15.309999999999999,0.06,V
56242.04,15.9,0.05,B
56242.04,15.479999999999999,0.04,I
56242.04,15.420000000000002,0.02,R
56242.04,15.52,0.02,V
56242.18,16.36,0.1,H
56242.18,16.09,0.08,J
56242.2882,17.94,0.073,UVW1
56242.2895,16.682000000000002,0.07,U
56242.2902,15.999000000000002,0.062,B
56242.2922,19.218,0.091,UVW2
56242.2941,15.662999999999998,0.068,V
56242.297,18.729000000000003,0.076,UVM2
56242.79,16.05,0.06,B
56242.79,16.9,0.07,U
56242.79,18.6,0.09,UVM2
56242.79,17.96,0.08,UVW1
